Câu 1. A	Câu 2. D	Câu 3. A	Câu 4. A	Câu 5. B	Câu 6. C	Câu 7. C	Câu 8. A	Câu 9. C	Câu 10. A
Câu 11. C	Câu 12. A	Câu 13. B	Câu 14. A	Câu 15. A	Câu 16. A	Câu 17.  D	Câu 18. A	Câu 19. B	Câu 20. B
Câu 21. C	Câu 22. B	Câu 23. A	Câu 24. B	Câu 25. C	Câu 26. B	Câu 27. C	Câu 28. A	Câu 29. B	Câu 30. C
Câu 31. D	Câu 32. B	Câu 33. B	34. D	Câu 35. C	Câu 36. C	Câu 37. B	Câu 38. A	Câu 39. D	Câu 40. B
Câu 41. D	Câu 42. C	Câu 43. C	Câu 44. B	Câu 45. D	Câu 46. D	Câu 47. B	Câu 48. C	Câu 49. C	Câu 50. A
Câu 51. B	Câu 52. D	Câu 53. C	Câu 54. C	Câu 55. A	Câu 56. D	Câu 57. D	Câu 58. C	Câu 59. D	Câu 60. A
Câu 61. B	Câu 62. D	Câu 63. C	Câu 64. D	Câu 65. I	Câu 66. D	Câu 67. B	Câu 68. D	Câu 69. B	Câu 70. A
Câu 71. B	Câu 72. C	Câu 73. D	Câu 74. B	Câu 75. A 	Câu 76. A 	Câu 77. A	Câu 78. A	Câu 79. B	Câu 80. A
Câu 81. A 	Câu 82. B	Câu 83. C	Câu 84. D	Câu 85. A 	Câu 86. D	Câu 87. A	Câu 88. C	Câu 89. C	Câu 90. B
Câu 91. A	Câu 92. B	Câu 93. A	Câu 94. D	Câu 95. A	Câu 96. A 	Câu 97. A	Câu 98. A	Câu 99. A	Câu 100. C
Câu 101. A	Câu 102. B	Câu 103. A	Câu 104. D	Câu 105.B 	Câu 106.C 	Câu 107. A	Câu 108. C	Câu 109. C	Câu 110. C
Câu 111. A	Câu 112. D	Câu 113. B	Câu 114.D 	Câu 115. A	Câu 116. D	Câu 117. B	Câu 118. B	Câu 119. D	Câu 120. B
