1	D	31	C	61	B	91	C
2	B	32	B	62	C	92	B
3	D	33	A	63	B	93	D
4	B	34	D	64	D	94	C
5	D	35	B	65	D	95	C
6	B	36	C	66	A	96	A
7	D	37	B	67	A	97	C
8	A	38	A	68	C	98	C
9	B	39	A	69	A	99	B
10	B	40	B	70	B	100	C
11	A	41	C	71	B	101	C
12	C	42	D	72	D	102	A
13	A	43	A	73	A	103	C
14	B	44	C	74	C	104	D
15	C	45	B	75	B	105	D
16	D	46	A	76	C	106	A
17	B	47	C	77	B	107	A
18	A	48	C	78	A	108	A
19	C	49	B	79	B	109	D
20	D	50	C	80	D	110	C
21	D	51	A	81	D	111	A
22	B	52	B	82	A	112	A
23	B	53	B	83	C	113	D
24	A	54	D	84	B	114	A
25	D	55	B	85	A	115	A
26	A	56	D	86	D	116	A
27	C	57	A	87	C	117	B
28	C	58	C	88	B	118	B
29	D	59	A	89	A	119	C
30	C	60	C	90	C	120	A
